Código,CCF,Empresas Afiliadas,Total Afiliados Cajas Compensacion Familiar,Trabajadores Afiliados Dependientes,Afiliados Facultativos Independientes,Afiliados Pensionados,Afiliados Fidelidad,No Afiliados con Derecho a Subsidio,Personas Cargo,Total Población Cubierta
2,Caja de Compensacion Familiar Camacol COMFAMILIAR CAMACOL,1274,21081,21031,50,0,0,0,30236,51317
3,Caja de Compensacion Familiar COMFENALCO ANTIOQUIA,19174,390601,377980,6510,1904,73,4134,436925,827526
4,Caja de Compensacion Familiar de Antioquia COMFAMA,87518,1088896,1048234,15996,3889,8030,12747,1327554,2416450
5,Caja de Compensación Familiar CAJACOPI BARRANQUILLA,2959,49683,49432,116,46,0,89,91040,140723
6,Caja de Compensacion Familiar de Barranquilla COMBARRANQUILLA,9436,141386,136731,1859,171,0,2625,186190,327576
7,Caja de Compensación Familiar COMFAMILIAR DEL ATLANTICO,12271,222177,215162,2987,1160,0,2868,292671,514848
8,Caja de Compensacion Familiar de Fenalco - Andi COMFENALCO CARTAGENA,16797,204392,200900,618,239,0,2635,289964,494356
9,Caja de Compensacion Familiar de Cartagena y Bolivar Comfamiliar,4279,51416,51304,97,15,0,0,70096,121512
10,Caja de Compensacion Familiar de Boyacá - COMFABOY,15650,167120,164716,218,173,1659,354,180493,347613
11,Caja de Compensacion Familiar de Caldas COMFAMILIARES,11337,151966,143620,498,2370,3555,1923,188161,340127
13,Caja de Compensacion Familiar del Caquetá - COMFACA,2969,28624,27774,143,22,0,685,44342,72966
14,Caja de Compensacion Familiar del Cauca - COMFACAUCA,6138,93782,91770,437,1,729,845,161741,255523
15,Caja de Compensacion Familiar del Cesar COMFACESAR,6246,108922,106393,295,92,0,2142,217943,326865
16,Caja de Compensacion Familiar de Córdoba COMFACOR,6873,107065,106787,272,6,0,0,117430,224495
21,Caja de Compensacion Familiar CAFAM,43421,817071,656048,138994,8006,5910,8113,833029,1650100
22,Caja Colombiana de Subsidio Familiar COLSUBSIDIO,76476,1578004,1531569,14843,9429,6653,15510,1692700,3270704
24,Caja de Compensacion Familiar COMPENSAR,81020,1254080,1151551,59169,19626,5758,17976,1451346,2705426
26,Caja de Compensacion Familiar de Cundinamarca - COMFACUNDI,1959,34563,34130,11,422,0,0,38415,72978
29,Caja de Compensacion Familiar del Choco,1452,25943,25183,334,134,0,292,50403,76346
30,Caja de Compensacion Familiar de la Guajira - COMFAGUAJIRA,2397,49041,47559,197,20,0,1265,85736,134777
32,Caja de Compensacion Familiar del Huila - COMFAMILIAR,10134,157033,104198,904,285,49032,2614,226800,383833
33,Caja de Compensacion Familiar del Magdalena,6635,101612,101401,131,39,41,0,191068,292680
34,Caja de Compensacion Familiar Regional del Meta COFREM,10412,191218,117196,737,187,68702,4396,176027,367245
35,Caja de Compensacion Familiar de Nariño,7042,99025,94899,293,295,20,3518,168715,267740
36,Caja de Compensacion Familiar del Oriente Colombiano COMFAORIENTE,5170,81727,55408,662,50,25519,88,138925,220652
37,Caja de Compensacion Familiar del Norte de Santander COMFANORTE,7608,121601,81617,374,67,39369,174,152338,273939
38,Caja de Compensacion Familiar de Barrancabermeja CAFABA,2017,25253,25234,14,5,0,0,35151,60404
39,Caja Santandereana de Subsidio Familiar CAJASAN,14344,155819,153735,1125,42,917,0,218378,374197
40,Caja de Compensacion Familiar COMFENALCO SANTANDER,17963,222834,220838,1054,243,692,7,256712,479546
41,Caja de Compensacion Familiar de Sucre,5164,40745,40729,16,0,0,0,67434,108179
43,Caja de Compensacion Familiar de Fenalco COMFENALCO QUINDIO,8281,82661,80891,968,547,249,6,95848,178509
44,Caja de Compensacion Familiar de Risaralda- COMFAMILIAR RISARALDA,17006,172730,170762,168,136,1664,0,196541,369271
46,Caja de Compensacion Familiar del Sur del Tolima CAFASUR,544,5069,5042,27,0,0,0,10530,15599
48,Caja de Compensacion Familiar del Tolima COMFATOLIMA,3613,67306,67058,171,72,5,0,74755,142061
50,Caja de Compensacion Familiar de Fenalco del Tolima - COMFENALCO,7673,102302,99922,484,188,36,1672,127172,229474
56,Caja de Compensacion Familiar del Valle del Cauca - COMFENALCO VALLE,11474,289993,275468,920,921,3413,9271,330541,620534
57,Caja de Compensacion Familiar del Valle del Cauca COMFAMILIAR ANDI - COMFANDI,42516,575990,563763,6543,5684,0,0,726087,1302077
63,Caja de Compensacion Familiar del Putumayo - COMFAMILIAR PUTUMAYO,1771,22422,21967,136,9,0,310,38188,60610
64,Caja de Compensación Familiar de San Andrés y Providencia Islas CAJASAI,1472,16268,16125,143,0,0,0,16375,32643
65,Caja de Compensacion Familiar del Amazonas CAFAMAZ,669,5940,5779,92,2,0,67,14360,20300
67,Caja de Compensacion Familiar de Arauca COMFIAR,1910,18059,17570,102,3,0,384,29644,47703
68,Caja de Compensacion Familiar Campesina COMCAJA,1363,9942,9938,4,0,0,0,15295,25237
69,Caja de Compensacion Familiar del Casanare - COMFACASANARE,4368,52100,51065,106,7,0,922,67042,119142
