Código,CCF,Empresas Afiliadas,Total Afiliados Cajas Compensacion Familiar,Trabajadores Afiliados Dependientes,Afiliados Facultativos Independientes,Afiliados Pensionados,Afiliados Fidelidad,No Afiliados con Derecho a Subsidio,Personas Cargo,Total Población Cubierta
2,Caja de Compensacion Familiar Camacol COMFAMILIAR CAMACOL,1236,19966,19912,54,0,0,0,29200,49166
3,Caja de Compensacion Familiar COMFENALCO ANTIOQUIA,19358,406702,393749,6930,1773,154,4096,460782,867484
4,Caja de Compensacion Familiar de Antioquia COMFAMA,92801,1129424,1086201,18290,4834,9775,10324,1306833,2436257
5,Caja de Compensación Familiar CAJACOPI BARRANQUILLA,2973,52635,52098,122,48,0,367,94472,147107
6,Caja de Compensacion Familiar de Barranquilla COMBARRANQUILLA,10245,151014,146866,816,220,0,3112,195078,346092
7,Caja de Compensación Familiar COMFAMILIAR DEL ATLANTICO,13343,229128,223241,2723,1310,0,1854,303600,532728
8,Caja de Compensacion Familiar de Fenalco - Andi COMFENALCO CARTAGENA,19644,203848,200084,683,290,0,2791,272207,476055
9,Caja de Compensacion Familiar de Cartagena y Bolivar Comfamiliar,4550,53798,53711,83,4,0,0,75304,129102
10,Caja de Compensacion Familiar de Boyacá - COMFABOY,15006,181914,179075,464,105,2061,209,188848,370762
11,Caja de Compensacion Familiar de Caldas COMFAMILIARES,11926,155139,146457,753,2497,3888,1544,188131,343270
13,Caja de Compensacion Familiar del Caquetá - COMFACA,3178,29161,28742,164,27,0,228,45020,74181
14,Caja de Compensacion Familiar del Cauca - COMFACAUCA,6755,102753,99900,523,404,1160,766,174867,277620
15,Caja de Compensacion Familiar del Cesar COMFACESAR,6610,110935,108756,321,55,0,1803,216441,327376
16,Caja de Compensacion Familiar de Córdoba COMFACOR,7006,106991,106812,173,6,0,0,130303,237294
21,Caja de Compensacion Familiar CAFAM,45216,837046,662904,151251,8958,6788,7145,808245,1645291
22,Caja Colombiana de Subsidio Familiar COLSUBSIDIO,86148,1661100,1612281,18431,9783,7341,13264,1793941,3455041
24,Caja de Compensacion Familiar COMPENSAR,89264,1256948,1145258,66084,21797,6747,17062,1493281,2750229
26,Caja de Compensacion Familiar de Cundinamarca - COMFACUNDI,1924,34364,33383,37,499,0,445,37114,71478
29,Caja de Compensacion Familiar del Choco,1626,26746,25791,562,129,0,264,50497,77243
30,Caja de Compensacion Familiar de la Guajira - COMFAGUAJIRA,2457,52047,50836,108,15,0,1088,89133,141180
32,Caja de Compensacion Familiar del Huila - COMFAMILIAR,9793,161918,111026,960,287,46162,3483,230222,392140
33,Caja de Compensacion Familiar del Magdalena,7061,102244,101771,191,100,182,0,200688,302932
34,Caja de Compensacion Familiar Regional del Meta COFREM,10728,203711,126765,871,217,72273,3585,206731,410442
35,Caja de Compensacion Familiar de Nariño,7539,103501,100870,208,344,8,2071,172844,276345
36,Caja de Compensacion Familiar del Oriente Colombiano COMFAORIENTE,4893,79290,59248,54,58,19893,37,133614,212904
37,Caja de Compensacion Familiar del Norte de Santander COMFANORTE,8525,125674,83353,511,52,41655,103,148801,274475
38,Caja de Compensacion Familiar de Barrancabermeja CAFABA,1999,27169,27125,6,9,0,29,29460,56629
39,Caja Santandereana de Subsidio Familiar CAJASAN,16246,163251,160380,663,42,6,2160,213372,376623
40,Caja de Compensacion Familiar COMFENALCO SANTANDER,18658,226206,224066,1190,205,737,8,242153,468359
41,Caja de Compensacion Familiar de Sucre,5457,49116,48604,118,9,36,349,77146,126262
43,Caja de Compensacion Familiar de Fenalco COMFENALCO QUINDIO,8728,83874,81394,1333,802,341,4,98626,182500
44,Caja de Compensacion Familiar de Risaralda- COMFAMILIAR RISARALDA,16326,175469,172929,249,168,2123,0,195683,371152
46,Caja de Compensacion Familiar del Sur del Tolima CAFASUR,550,4747,4712,35,0,0,0,9596,14343
48,Caja de Compensacion Familiar del Tolima COMFATOLIMA,3887,60627,60278,235,89,25,0,67012,127639
50,Caja de Compensacion Familiar de Fenalco del Tolima - COMFENALCO,8070,115922,114004,593,219,57,1049,137317,253239
56,Caja de Compensacion Familiar del Valle del Cauca - COMFENALCO VALLE,11920,300732,288117,4879,1159,3391,3186,325710,626442
57,Caja de Compensacion Familiar del Valle del Cauca COMFAMILIAR ANDI - COMFANDI,46221,603885,590416,7130,6339,0,0,723626,1327511
63,Caja de Compensacion Familiar del Putumayo - COMFAMILIAR PUTUMAYO,1847,24264,23639,189,12,0,424,41187,65451
64,Caja de Compensación Familiar de San Andrés y Providencia Islas CAJASAI,1495,16459,16307,152,0,0,0,31064,47523
65,Caja de Compensacion Familiar del Amazonas CAFAMAZ,664,6143,5974,61,1,0,107,14898,21041
67,Caja de Compensacion Familiar de Arauca COMFIAR,2019,17916,17586,143,1,0,186,29100,47016
68,Caja de Compensacion Familiar Campesina COMCAJA,1548,11103,11081,22,0,0,0,16497,27600
69,Caja de Compensacion Familiar del Casanare - COMFACASANARE,4533,50590,49383,190,3,0,1014,70750,121340
