Código,CCF,Empresas Afiliadas,Total Afiliados Cajas Compensacion Familiar,Trabajadores Afiliados Dependientes,Afiliados Facultativos Independientes,Afiliados Pensionados,Afiliados Fidelidad,No Afiliados con Derecho a Subsidio,Personas Cargo,Total Población Cubierta
2,Caja de Compensacion Familiar Camacol COMFAMILIAR CAMACOL,1220,19616,19562,54,0,0,0,29557,49173
3,Caja de Compensacion Familiar COMFENALCO ANTIOQUIA,19137,400997,383600,6965,1791,132,8509,455302,856299
4,Caja de Compensacion Familiar de Antioquia COMFAMA,92007,1108302,1052141,17911,4668,9446,24136,1291888,2400190
5,Caja de Compensación Familiar CAJACOPI BARRANQUILLA,2965,50518,50172,126,48,0,172,93143,143661
6,Caja de Compensacion Familiar de Barranquilla COMBARRANQUILLA,10135,151072,144403,2039,216,0,4414,196484,347556
7,Caja de Compensación Familiar COMFAMILIAR DEL ATLANTICO,13155,225834,218282,2718,1285,0,3549,296765,522599
8,Caja de Compensacion Familiar de Fenalco - Andi COMFENALCO CARTAGENA,19204,207811,201987,671,288,0,4865,276161,483972
9,Caja de Compensacion Familiar de Cartagena y Bolivar Comfamiliar,4527,53971,53877,90,4,0,0,80621,134592
10,Caja de Compensacion Familiar de Boyacá - COMFABOY,14928,178108,175286,465,100,1998,259,186718,364826
11,Caja de Compensacion Familiar de Caldas COMFAMILIARES,11720,147959,134396,966,2470,3825,6302,182780,330739
13,Caja de Compensacion Familiar del Caquetá - COMFACA,3154,28264,27169,169,26,0,900,44675,72939
14,Caja de Compensacion Familiar del Cauca - COMFACAUCA,6797,97339,91715,476,358,1107,3683,165687,263026
15,Caja de Compensacion Familiar del Cesar COMFACESAR,6449,108698,105066,329,89,0,3214,213862,322560
16,Caja de Compensacion Familiar de Córdoba COMFACOR,7170,116136,115841,290,5,0,0,123162,239298
21,Caja de Compensacion Familiar CAFAM,45138,825685,642744,155022,8754,6644,12521,799404,1625089
22,Caja Colombiana de Subsidio Familiar COLSUBSIDIO,84243,1651876,1594938,17649,9594,7211,22484,1777548,3429424
24,Caja de Compensacion Familiar COMPENSAR,86664,1228336,1110949,64201,21535,6587,25064,1474262,2702598
26,Caja de Compensacion Familiar de Cundinamarca - COMFACUNDI,1947,32430,31072,28,476,0,854,35575,68005
29,Caja de Compensacion Familiar del Choco,1543,25476,23817,539,135,0,985,48149,73625
30,Caja de Compensacion Familiar de la Guajira - COMFAGUAJIRA,2446,51557,49021,71,14,0,2451,90456,142013
32,Caja de Compensacion Familiar del Huila - COMFAMILIAR,9886,160861,107306,1020,322,47051,5162,229965,390826
33,Caja de Compensacion Familiar del Magdalena,6987,101843,101388,189,92,174,0,200158,302001
34,Caja de Compensacion Familiar Regional del Meta COFREM,10716,198382,139316,745,203,53806,4312,226318,424700
35,Caja de Compensacion Familiar de Nariño,7404,101214,95316,193,254,8,5443,172161,273375
36,Caja de Compensacion Familiar del Oriente Colombiano COMFAORIENTE,4927,76131,54608,56,58,21318,91,127313,203444
37,Caja de Compensacion Familiar del Norte de Santander COMFANORTE,8339,123168,77306,481,47,45147,187,147951,271119
38,Caja de Compensacion Familiar de Barrancabermeja CAFABA,2048,26057,26029,8,10,0,10,32109,58166
39,Caja Santandereana de Subsidio Familiar CAJASAN,16060,163624,158207,625,43,3,4746,215631,379255
40,Caja de Compensacion Familiar COMFENALCO SANTANDER,18206,225150,223030,1181,200,727,12,248559,473709
41,Caja de Compensacion Familiar de Sucre,5240,47845,46236,107,9,18,1475,75811,123656
43,Caja de Compensacion Familiar de Fenalco COMFENALCO QUINDIO,8586,84214,81872,1243,732,363,4,99259,183473
44,Caja de Compensacion Familiar de Risaralda- COMFAMILIAR RISARALDA,15833,172980,170589,219,164,2008,0,195209,368189
46,Caja de Compensacion Familiar del Sur del Tolima CAFASUR,555,4642,4610,32,0,0,0,9517,14159
48,Caja de Compensacion Familiar del Tolima COMFATOLIMA,3801,61820,61498,217,88,17,0,68161,129981
50,Caja de Compensacion Familiar de Fenalco del Tolima - COMFENALCO,7948,121085,117850,577,218,54,2386,142391,263476
56,Caja de Compensacion Familiar del Valle del Cauca - COMFENALCO VALLE,11812,297731,283029,3676,1128,3379,6519,325912,623643
57,Caja de Compensacion Familiar del Valle del Cauca COMFAMILIAR ANDI - COMFANDI,45030,591162,577620,7256,6286,0,0,708257,1299419
63,Caja de Compensacion Familiar del Putumayo - COMFAMILIAR PUTUMAYO,1834,23936,22228,182,12,0,1514,41211,65147
64,Caja de Compensación Familiar de San Andrés y Providencia Islas CAJASAI,1494,16600,16466,134,0,0,0,31162,47762
65,Caja de Compensacion Familiar del Amazonas CAFAMAZ,645,5827,5337,55,1,0,434,14497,20324
67,Caja de Compensacion Familiar de Arauca COMFIAR,1882,17954,17157,121,1,0,675,29749,47703
68,Caja de Compensacion Familiar Campesina COMCAJA,1516,11179,11155,24,0,0,0,16996,28175
69,Caja de Compensacion Familiar del Casanare - COMFACASANARE,4446,51662,49281,194,3,0,2184,72429,124091
